//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//-----------------------------------------------------------------------------------
//Portails
m	876	1127	0	0	0	0	1m	100	1	10003
//-----------------------------------------------------------------------------------
//PNJ
m	609	596	0	0	0	2	1m	100	1	9005
m	588	633	0	0	0	1	1m	100	1	9006
m	675	539	0	0	0	0	1m	100	1	9009
m	742	879	0	0	0	0	1m	100	1	9009
m	206	552	0	0	0	0	1m	100	1	9009
m	218	679	0	0	0	0	1m	100	1	9009
m	221	865	0	0	0	0	1m	100	1	9009
m	231	976	0	0	0	0	1m	100	1	9009
m	234	1077	0	0	0	0	1m	100	1	9009
m	519	512	0	0	0	2	1m	100	1	9012
m	633	640	0	0	0	0	1m	100	1	11002
m	623	617	0	0	0	0	1m	100	1	11003
m	660	734	0	0	0	7	1m	100	1	20001
m	554	597	1	1	0	0	1m	100	1	20002
m	553	663	0	0	0	4	1m	100	1	20003
m	702	686	1	1	0	0	1m	100	1	20005
m	717	633	1	1	0	0	1m	100	1	20006
m	581	620	0	0	0	1	1m	100	1	20008
m	908	87	0	0	0	0	1m	100	1	20009
m	655	553	1	1	0	0	1m	100	1	20011
m	594	692	0	0	0	4	1m	100	1	20016
m	674	590	1	1	0	0	1m	100	1	20018
m	692	577	0	0	0	0	1m	100	1	20023
m	659	772	1	1	0	0	1m	100	1	20041
m	898	797	0	0	0	0	1m	100	1	20084
m	864	823	0	0	0	0	1m	100	1	20086
m	854	827	0	0	0	0	1m	100	1	20087
m	617	122	0	0	0	1	1m	100	1	20093
m	618	562	0	0	0	3	1m	100	1	20095
m	623	594	0	0	0	1	1m	100	1	20320
m	627	594	0	0	0	1	1m	100	1	20321
m	631	595	0	0	0	1	1m 	100	1	20322
m	635	595	0	0	0	1	1m	100	1	20323
m	645	595	0	0	0	1	1m	100	1	20324
m	649	595	0	0	0	1	1m	100	1	20325
m	653	595	0	0	0	1	1m	100	1	20326
m	657	595	0	0	0	1	1m	100	1	20327
m	549	610	0	0	0	2	1m	100	1	20349
m	571	558	0	0	0	0	1m	100	1	20354
m	772	682	0	0	0	0	1m	100	1	20355
m	614	1167	0	0	0	0	1m	100	1	20357
m	250	1104	0	0	0	0	1m	100	1	20358
//-----------------------------------------------------------------------------------
//Marchands
m	676	662	0	0	0	6	1m	100	1	9001
m	676	617	0	0	0	7	1m	100	1	9002
m	590	689	0	0	0	4	1m	100	1	9003
//-----------------------------------------------------------------------------------
//Autre (désactivé)
m	614	116	0	0	0	3	1m	100	1	10085
g	659	772	1	1	0	0	1m	100	1	11003
g	533	599	1	1	0	0	1m	100	1	12007
