PAWN						S_PAWN						KNIGHT						S_KNIGHT					
초급검	1	15	0.07	도+5	5000	초급검	1	15	0.07	도+5	3846	초급검	1	15	0.07	도+5	3333	초급검	1	15	0.07	도+5	1250
	1	15	0.07	도+6	10000		1	15	0.07	도+6	7692		1	15	0.07	도+6	6667		1	15	0.07	도+6	2500
	1	15	0.07	장검+4	2000		1	15	0.07	장검+4	1538		1	15	0.07	장검+4	1333		1	15	0.07	장검+4	500
	1	15	0.07	장검+5	5000		1	15	0.07	장검+5	3846		1	15	0.07	장검+5	3333		1	15	0.07	장검+5	1250
	1	15	0.07	장검+6	10000		1	15	0.07	장검+6	7692		1	15	0.07	장검+6	6667		1	15	0.07	장검+6	2500
	1	15	0.07	월도+4	2000		1	15	0.07	월도+4	1538		1	15	0.07	월도+4	1333		1	15	0.07	월도+4	500
	1	15	0.07	월도+5	5000		1	15	0.07	월도+5	3846		1	15	0.07	월도+5	3333		1	15	0.07	월도+5	1250
	1	15	0.07	월도+6	10000		1	15	0.07	월도+6	7692		1	15	0.07	월도+6	6667		1	15	0.07	월도+6	2500
	5	15	0.07	세검+4	2000		5	15	0.07	세검+4	1538		5	15	0.07	세검+4	1333		5	15	0.07	세검+4	500
	5	15	0.07	세검+5	5000		5	15	0.07	세검+5	3846		5	15	0.07	세검+5	3333		5	15	0.07	세검+5	1250
	5	15	0.07	세검+6	10000		5	15	0.07	세검+6	7692		5	15	0.07	세검+6	6667		5	15	0.07	세검+6	2500
	5	15	0.07	낭아도+4	4000		5	15	0.07	낭아도+4	3077		5	15	0.07	낭아도+4	2667		5	15	0.07	낭아도+4	1000
	5	15	0.07	낭아도+5	10000		5	15	0.07	낭아도+5	7692		5	15	0.07	낭아도+5	6667		5	15	0.07	낭아도+5	2500
	5	15	0.07	낭아도+6	40000		5	15	0.07	낭아도+6	30769		5	15	0.07	낭아도+6	26667		5	15	0.07	낭아도+6	10000
초급양손검	1	15	0.07	대도+4	2000	초급양손검	1	15	0.07	대도+4	1538	초급양손검	1	15	0.07	대도+4	1333	초급양손검	1	15	0.07	대도+4	500
	1	15	0.07	대도+5	5000		1	15	0.07	대도+5	3846		1	15	0.07	대도+5	3333		1	15	0.07	대도+5	1250
	1	15	0.07	대도+6	10000		1	15	0.07	대도+6	7692		1	15	0.07	대도+6	6667		1	15	0.07	대도+6	2500
	1	15	0.07	장창+4	2000		1	15	0.07	장창+4	1538		1	15	0.07	장창+4	1333		1	15	0.07	장창+4	500
	1	15	0.07	장창+5	5000		1	15	0.07	장창+5	3846		1	15	0.07	장창+5	3333		1	15	0.07	장창+5	1250
	1	15	0.07	장창+6	10000		1	15	0.07	장창+6	7692		1	15	0.07	장창+6	6667		1	15	0.07	장창+6	2500
	1	15	0.07	단두도+4	2000		1	15	0.07	단두도+4	1538		1	15	0.07	단두도+4	1333		1	15	0.07	단두도+4	500
	1	15	0.07	단두도+5	5000		1	15	0.07	단두도+5	3846		1	15	0.07	단두도+5	3333		1	15	0.07	단두도+5	1250
	1	15	0.07	단두도+6	10000		1	15	0.07	단두도+6	7692		1	15	0.07	단두도+6	6667		1	15	0.07	단두도+6	2500
	5	15	0.07	쇄후쌍구+4	2000		5	15	0.07	쇄후쌍구+4	1538		5	15	0.07	쇄후쌍구+4	1333		5	15	0.07	쇄후쌍구+4	500
	5	15	0.07	쇄후쌍구+5	5000		5	15	0.07	쇄후쌍구+5	3846		5	15	0.07	쇄후쌍구+5	3333		5	15	0.07	쇄후쌍구+5	1250
	5	15	0.07	쇄후쌍구+6	10000		5	15	0.07	쇄후쌍구+6	7692		5	15	0.07	쇄후쌍구+6	6667		5	15	0.07	쇄후쌍구+6	2500
	5	15	0.07	선인극+4	4000		5	15	0.07	선인극+4	3077		5	15	0.07	선인극+4	2667		5	15	0.07	선인극+4	1000
	5	15	0.07	선인극+5	10000		5	15	0.07	선인극+5	7692		5	15	0.07	선인극+5	6667		5	15	0.07	선인극+5	2500
	5	15	0.07	선인극+6	40000		5	15	0.07	선인극+6	30769		5	15	0.07	선인극+6	26667		5	15	0.07	선인극+6	10000
초급두손검	1	15	0.07	단도+5	5000	초급두손검	1	15	0.07	단도+5	3846	초급두손검	1	15	0.07	단도+5	3333	초급두손검	1	15	0.07	단도+5	1250
	1	15	0.07	단도+6	10000		1	15	0.07	단도+6	7692		1	15	0.07	단도+6	6667		1	15	0.07	단도+6	2500
	1	15	0.07	아미자+4	2000		1	15	0.07	아미자+4	1538		1	15	0.07	아미자+4	1333		1	15	0.07	아미자+4	500
	1	15	0.07	아미자+5	5000		1	15	0.07	아미자+5	3846		1	15	0.07	아미자+5	3333		1	15	0.07	아미자+5	1250
	1	15	0.07	아미자+6	10000		1	15	0.07	아미자+6	7692		1	15	0.07	아미자+6	6667		1	15	0.07	아미자+6	2500
	1	15	0.07	서역단도+4	2000		1	15	0.07	서역단도+4	1538		1	15	0.07	서역단도+4	1333		1	15	0.07	서역단도+4	500
	1	15	0.07	서역단도+5	5000		1	15	0.07	서역단도+5	3846		1	15	0.07	서역단도+5	3333		1	15	0.07	서역단도+5	1250
	1	15	0.07	서역단도+6	10000		1	15	0.07	서역단도+6	7692		1	15	0.07	서역단도+6	6667		1	15	0.07	서역단도+6	2500
	5	15	0.07	구치구+4	2000		5	15	0.07	구치구+4	1538		5	15	0.07	구치구+4	1333		5	15	0.07	구치구+4	500
	5	15	0.07	구치구+5	5000		5	15	0.07	구치구+5	3846		5	15	0.07	구치구+5	3333		5	15	0.07	구치구+5	1250
	5	15	0.07	구치구+6	10000		5	15	0.07	구치구+6	7692		5	15	0.07	구치구+6	6667		5	15	0.07	구치구+6	2500
	5	15	0.07	천축단도+4	4000		5	15	0.07	천축단도+4	3077		5	15	0.07	천축단도+4	2667		5	15	0.07	천축단도+4	1000
	5	15	0.07	천축단도+5	10000		5	15	0.07	천축단도+5	7692		5	15	0.07	천축단도+5	6667		5	15	0.07	천축단도+5	2500
	5	15	0.07	천축단도+6	40000		5	15	0.07	천축단도+6	30769		5	15	0.07	천축단도+6	26667		5	15	0.07	천축단도+6	10000
